,gender,age,age_o,d_age,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_matches,guess_prob_liked,met,match
7192,male,24.0,24.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(18.0, 20.0]","(18.92, 20.0]","(17.31, 20.0]","(18.0, 20.0]","(15.0, 53.0]","(-0.001, 5.0]","(5.0, 6.0]","(9.0, 10.0]","(9.0, 10.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 7.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(7.0, 8.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(8.0, 10.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(0.13, 0.31]","(4.0, 5.0]","(1.0, 2.0]","(3.0, 5.0]",0.0,0
7193,male,24.0,25.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,other,0,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(10.0, 15.0]","(20.0, 47.0]","(-0.001, 17.31]","(-0.001, 15.0]","(11.066, 15.0]","(14.0, 17.09]","(-0.001, 4.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(-0.001, 4.0]","(6.0, 7.0]","(7.0, 8.0]","(5.0, 6.0]","(7.0, 8.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(0.13, 0.31]","(4.0, 5.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
7194,male,24.0,25.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(18.0, 20.0]","(-0.001, 15.0]","(17.31, 20.0]","(18.0, 20.0]","(5.0, 10.0]","(17.09, 30.0]","(-0.001, 4.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 4.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(0.31, 0.47]","(4.0, 5.0]","(1.0, 2.0]","(3.0, 5.0]",0.0,0
7195,male,24.0,29.0,"(4.0, 6.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(-0.001, 10.0]","(18.92, 20.0]","(20.0, 25.0]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(-0.001, 4.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(6.0, 7.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(7.0, 8.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(0.47, 0.91]","(4.0, 5.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
7196,male,24.0,30.0,"(4.0, 6.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(10.0, 15.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(11.066, 15.0]","(17.09, 30.0]","(-0.001, 4.0]","(7.0, 8.0]","(7.0, 8.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(0.13, 0.31]","(4.0, 5.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
7197,male,24.0,25.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,latino/hispanic american,0,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(-0.001, 10.0]","(20.0, 47.0]","(20.0, 25.0]","(18.0, 20.0]","(5.0, 10.0]","(5.0, 10.0]","(-0.001, 4.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(7.0, 8.0]","(-0.001, 4.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(6.0, 7.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(-0.07, 0.13]","(4.0, 5.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
7198,male,24.0,34.0,"(6.0, 32.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(10.0, 15.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(14.0, 17.09]","(7.0, 8.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 11.0]","(8.0, 10.0]","(6.0, 7.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(5.0, 6.0]","(4.0, 5.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(0.47, 0.91]","(4.0, 5.0]","(1.0, 2.0]","(3.0, 5.0]",0.0,0
7199,male,24.0,30.0,"(4.0, 6.0]",asian/pacific islander/asian-american,black/african american,0,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(10.0, 15.0]","(18.92, 20.0]","(-0.001, 17.31]","(20.0, 50.0]","(-0.001, 5.0]","(17.09, 30.0]","(-0.001, 4.0]","(9.0, 10.0]","(8.0, 9.0]","(-0.001, 5.0]","(6.0, 7.0]","(4.0, 5.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(6.0, 7.0]","(-0.001, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(4.0, 5.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(-0.831, -0.07]","(4.0, 5.0]","(1.0, 2.0]","(5.0, 6.0]",0.0,0
7201,male,24.0,25.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(18.0, 20.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(-0.001, 4.0]","(-0.001, 6.0]","(8.0, 9.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(6.0, 7.0]","(7.0, 8.0]","(-0.001, 6.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(-0.07, 0.13]","(4.0, 5.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
7203,male,24.0,26.0,"(1.0, 2.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(18.0, 20.0]","(18.92, 20.0]","(-0.001, 17.31]","(18.0, 20.0]","(5.0, 10.0]","(17.09, 30.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(5.0, 6.0]","(-0.001, 6.0]","(7.0, 8.0]","(5.0, 6.0]","(6.0, 7.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(-0.07, 0.13]","(4.0, 5.0]","(1.0, 2.0]","(3.0, 5.0]",0.0,0
7204,male,24.0,27.0,"(2.0, 4.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(10.0, 15.0]","(-0.001, 15.0]","(17.31, 20.0]","(18.0, 20.0]","(11.066, 15.0]","(14.0, 17.09]","(-0.001, 4.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(7.0, 8.0]","(-0.001, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(-0.831, -0.07]","(4.0, 5.0]","(1.0, 2.0]","(3.0, 5.0]",0.0,0
7205,male,24.0,26.0,"(1.0, 2.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",classics,"(15.0, 18.0]","(15.0, 18.92]","(17.31, 20.0]","(18.0, 20.0]","(11.066, 15.0]","(14.0, 17.09]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(20.0, 25.0]","(20.0, 47.0]","(-0.001, 17.02]","(-0.001, 15.0]","(5.0, 10.0]","(14.29, 17.0]","(6.0, 7.0]","(8.0, 9.0]","(1.999, 6.0]","(2.999, 8.0]","(1.999, 6.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(3.0, 5.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(3.0, 5.0]","(0.999, 3.0]","(0.999, 7.0]","(6.0, 8.0]","(0.999, 5.0]","(8.0, 9.0]","(5.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(-0.001, 2.0]","(-0.831, -0.07]","(4.0, 5.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
7206,male,29.0,24.0,"(4.0, 6.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",business,"(-0.001, 10.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(15.0, 53.0]","(14.0, 17.09]","(-0.001, 4.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 4.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 10.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(0.13, 0.31]","(4.0, 5.0]","(3.0, 5.0]","(7.0, 10.0]",0.0,0
7207,male,29.0,24.0,"(4.0, 6.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",business,"(18.0, 20.0]","(18.92, 20.0]","(17.31, 20.0]","(18.0, 20.0]","(15.0, 53.0]","(-0.001, 5.0]","(5.0, 6.0]","(6.0, 7.0]","(7.0, 8.0]","(8.0, 11.0]","(8.0, 10.0]","(6.0, 7.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 10.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(0.47, 0.91]","(4.0, 5.0]","(3.0, 5.0]","(7.0, 10.0]",0.0,0
7208,male,29.0,25.0,"(2.0, 4.0]",asian/pacific islander/asian-american,other,0,"(-0.001, 1.0]","(0.999, 3.0]",business,"(10.0, 15.0]","(20.0, 47.0]","(-0.001, 17.31]","(-0.001, 15.0]","(11.066, 15.0]","(14.0, 17.09]","(-0.001, 4.0]","(7.0, 8.0]","(7.0, 8.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(8.0, 10.0]","(6.0, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(7.0, 10.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(0.31, 0.47]","(4.0, 5.0]","(3.0, 5.0]","(7.0, 10.0]",0.0,0
7209,male,29.0,25.0,"(2.0, 4.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",business,"(18.0, 20.0]","(-0.001, 15.0]","(17.31, 20.0]","(18.0, 20.0]","(5.0, 10.0]","(17.09, 30.0]","(-0.001, 4.0]","(6.0, 7.0]","(-0.001, 6.0]","(5.0, 6.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(4.0, 5.0]","(-0.001, 6.0]","(7.0, 8.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(0.13, 0.31]","(4.0, 5.0]","(3.0, 5.0]","(3.0, 5.0]",0.0,0
7210,male,29.0,29.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",business,"(-0.001, 10.0]","(18.92, 20.0]","(20.0, 25.0]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(7.0, 8.0]","(-0.001, 5.0]","(4.0, 5.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 10.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(0.47, 0.91]","(4.0, 5.0]","(3.0, 5.0]","(3.0, 5.0]",0.0,1
7211,male,29.0,30.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",business,"(10.0, 15.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(11.066, 15.0]","(17.09, 30.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 4.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(0.47, 0.91]","(4.0, 5.0]","(3.0, 5.0]","(3.0, 5.0]",0.0,0
7212,male,29.0,25.0,"(2.0, 4.0]",asian/pacific islander/asian-american,latino/hispanic american,0,"(-0.001, 1.0]","(0.999, 3.0]",business,"(-0.001, 10.0]","(20.0, 47.0]","(20.0, 25.0]","(18.0, 20.0]","(5.0, 10.0]","(5.0, 10.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 10.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(0.13, 0.31]","(4.0, 5.0]","(3.0, 5.0]","(7.0, 10.0]",0.0,0
7213,male,29.0,34.0,"(4.0, 6.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",business,"(10.0, 15.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(11.066, 15.0]","(14.0, 17.09]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 10.0]","(6.0, 7.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(0.47, 0.91]","(4.0, 5.0]","(3.0, 5.0]","(3.0, 5.0]",0.0,0
7214,male,29.0,30.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,black/african american,0,"(-0.001, 1.0]","(0.999, 3.0]",business,"(10.0, 15.0]","(18.92, 20.0]","(-0.001, 17.31]","(20.0, 50.0]","(-0.001, 5.0]","(17.09, 30.0]","(4.0, 5.0]","(7.0, 8.0]","(8.0, 9.0]","(5.0, 6.0]","(7.0, 8.0]","(4.0, 5.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(9.0, 10.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(8.0, 10.0]","(8.0, 9.0]","(8.0, 9.0]","(8.0, 10.0]","(8.0, 10.0]","(7.0, 10.0]","(0.999, 3.0]","(2.0, 3.0]","(0.999, 3.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(-0.001, 3.0]","(-0.001, 1.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(2.0, 3.0]","(-0.07, 0.13]","(4.0, 5.0]","(3.0, 5.0]","(7.0, 10.0]",0.0,0
