,has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
1299,0,4,female,29,29,0,[0-1],european/caucasian-american,european/caucasian-american,1,1,2,[0-1],[2-5],international educational development,50,7,20,23,0,0,[21-100],[0-15],[16-20],[21-100],[0-15],[0-15],8,7,8,6,8,9,[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],10,10,10,8,9,10,[9-10],[9-10],[9-10],[6-8],[9-10],[9-10],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.17,[0-0.33],5,6,3,[5-6],[4-9],[3-5],9,8,[9-10],[7-10],0,1,1,1
1301,0,4,female,29,28,1,[0-1],european/caucasian-american,european/caucasian-american,1,1,2,[0-1],[2-5],international educational development,30,30,20,10,10,0,[21-100],[21-100],[16-20],[0-15],[0-15],[0-15],6,7,8,5,7,7,[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],10,10,9,10,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.59,[0.33-1],5,6,3,[5-6],[4-9],[3-5],9,9,[9-10],[7-10],0,1,1,1
1302,0,4,female,29,30,1,[0-1],european/caucasian-american,other,0,1,2,[0-1],[2-5],international educational development,20,25,25,15,5,10,[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],9,8,8,7,6,6,[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],6,8,9,4,9,5,[6-8],[6-8],[9-10],[0-5],[9-10],[0-5],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.54,[0.33-1],5,6,3,[5-6],[4-9],[3-5],6,6,[6-8],[5-6],0,0,0,0
1304,0,4,female,29,32,3,[2-3],european/caucasian-american,european/caucasian-american,1,1,2,[0-1],[2-5],international educational development,30,10,30,20,10,0,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,8,8,6,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],4,8,9,7,8,6,[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.12,[0-0.33],5,6,3,[5-6],[4-9],[3-5],7,5,[6-8],[5-6],0,0,1,0
1305,0,4,female,29,26,3,[2-3],european/caucasian-american,european/caucasian-american,1,1,2,[0-1],[2-5],international educational development,40,5,20,10,10,15,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],6,6,6,6,6,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],8,7,8,5,8,5,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.2,[0-0.33],5,6,3,[5-6],[4-9],[3-5],5,3,[0-5],[0-4],0,0,0,0
1306,0,4,female,29,27,2,[2-3],european/caucasian-american,european/caucasian-american,1,1,2,[0-1],[2-5],international educational development,20,15,25,15,20,5,[16-20],[0-15],[21-100],[0-15],[16-20],[0-15],9,8,6,6,6,6,[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],8,8,8,7,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.8,[0.33-1],5,6,3,[5-6],[4-9],[3-5],6,5,[6-8],[5-6],0,0,1,0
1307,0,4,female,29,25,4,[4-6],european/caucasian-american,black/african american,0,1,2,[0-1],[2-5],international educational development,30,15,20,20,0,5,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],8,7,8,7,6,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],7,8,9,9,8,8,[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.03,[0-0.33],5,6,3,[5-6],[4-9],[3-5],7,6,[6-8],[5-6],0,1,1,1
1309,0,4,female,29,21,8,[7-37],european/caucasian-american,european/caucasian-american,1,1,2,[0-1],[2-5],international educational development,19,24,21,23,5,8,[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],9,9,9,9,9,8,[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],8,9,9,10,9,9,[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.8,[0.33-1],5,6,3,[5-6],[4-9],[3-5],8,8,[6-8],[7-10],0,1,1,1
1310,0,4,female,29,24,5,[4-6],european/caucasian-american,european/caucasian-american,1,1,2,[0-1],[2-5],international educational development,10,20,35,20,0,15,[0-15],[16-20],[21-100],[16-20],[0-15],[0-15],8,7,6,6,8,2,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],8,9,10,9,8,9,[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.72,[0.33-1],5,6,3,[5-6],[4-9],[3-5],8,9,[6-8],[7-10],0,1,0,0
1311,0,4,female,29,25,4,[4-6],european/caucasian-american,asian/pacific islander/asian-american,0,1,2,[0-1],[2-5],international educational development,15,10,30,10,5,30,[0-15],[0-15],[21-100],[0-15],[0-15],[21-100],9,10,8,6,8,3,[9-10],[9-10],[6-8],[6-8],[6-8],[0-5],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],7,9,9,7,9,7,[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.6,[0.33-1],5,6,3,[5-6],[4-9],[3-5],7,8,[6-8],[7-10],0,1,1,1
1313,0,4,female,29,27,2,[2-3],european/caucasian-american,asian/pacific islander/asian-american,0,1,2,[0-1],[2-5],international educational development,20,20,20,20,10,10,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7,6,6,3,4,4,[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],9,10,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],6,7,8,7,8,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],0.5,[0.33-1],5,6,3,[5-6],[4-9],[3-5],6,5,[6-8],[5-6],0,0,0,0
1333,0,4,male,28,22,6,[4-6],asian/pacific islander/asian-american,european/caucasian-american,0,6,8,[6-10],[6-10],business [mba],15,20,20,20,15,10,[0-15],[16-20],[16-20],[16-20],[0-15],[0-15],4,7,8,10,7,7,[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],8,8,7,7,7,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.56,[0.33-1],5,2,4,[5-6],[0-3],[3-5],7,7,[6-8],[7-10],0,1,1,1
1334,0,4,male,28,23,5,[4-6],asian/pacific islander/asian-american,latino/hispanic american,0,6,8,[6-10],[6-10],business [mba],10,25,20,10,20,15,[0-15],[21-100],[16-20],[0-15],[16-20],[0-15],4,2,9,2,10,2,[0-5],[0-5],[9-10],[0-5],[9-10],[0-5],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],7,5,6,6,5,3,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.69,[0.33-1],5,2,4,[5-6],[0-3],[3-5],5,3,[0-5],[0-4],0,0,0,0
1335,0,4,male,28,26,2,[2-3],asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,6,8,[6-10],[6-10],business [mba],10,20,15,20,20,15,[0-15],[16-20],[0-15],[16-20],[16-20],[0-15],5,6,7,6,9,5,[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],7,7,8,8,6,9,[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.27,[0-0.33],5,2,4,[5-6],[0-3],[3-5],8,6,[6-8],[5-6],0,0,0,0
1337,0,4,male,28,28,0,[0-1],asian/pacific islander/asian-american,european/caucasian-american,0,6,8,[6-10],[6-10],business [mba],10,10,20,20,20,20,[0-15],[0-15],[16-20],[16-20],[16-20],[16-20],2,10,10,8,10,6,[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],9,8,8,8,8,6,[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.6,[0.33-1],5,2,4,[5-6],[0-3],[3-5],8,6,[6-8],[5-6],0,1,0,0
1338,0,4,male,28,25,3,[2-3],asian/pacific islander/asian-american,other,0,6,8,[6-10],[6-10],business [mba],20,20,20,20,10,10,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7,7,10,10,9,8,[6-8],[6-8],[9-10],[9-10],[9-10],[6-8],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],9,9,8,8,6,6,[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.29,[0-0.33],5,2,4,[5-6],[0-3],[3-5],8,7,[6-8],[7-10],0,1,1,1
1339,0,4,male,28,35,7,[7-37],asian/pacific islander/asian-american,latino/hispanic american,0,6,8,[6-10],[6-10],business [mba],10,32,20,12,11,15,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],4,6,7,6,9,8,[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],7,7,7,7,7,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.54,[0.33-1],5,2,4,[5-6],[0-3],[3-5],6,5,[6-8],[5-6],0,1,0,0
1340,0,4,male,28,32,4,[4-6],asian/pacific islander/asian-american,latino/hispanic american,0,6,8,[6-10],[6-10],business [mba],30,30,30,5,0,5,[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],1,5,0,10,0,3,[0-5],[0-5],[0-5],[9-10],[0-5],[0-5],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],6,7,6,6,6,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.65,[0.33-1],5,2,4,[5-6],[0-3],[3-5],5,5,[0-5],[5-6],0,0,0,0
1341,0,4,male,28,30,2,[2-3],asian/pacific islander/asian-american,european/caucasian-american,0,6,8,[6-10],[6-10],business [mba],20,25,15,15,15,10,[16-20],[21-100],[0-15],[0-15],[0-15],[0-15],4,1,4,1,10,1,[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],7,7,7,7,7,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.3,[0-0.33],5,2,4,[5-6],[0-3],[3-5],5,5,[0-5],[5-6],0,0,0,0
1343,0,4,male,28,23,5,[4-6],asian/pacific islander/asian-american,european/caucasian-american,0,6,8,[6-10],[6-10],business [mba],15,15,20,15,15,20,[0-15],[0-15],[16-20],[0-15],[0-15],[16-20],2,3,2,1,1,1,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],7,7,7,7,7,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.69,[0.33-1],5,2,4,[5-6],[0-3],[3-5],6,7,[6-8],[7-10],0,0,0,0
1344,0,4,male,28,23,5,[4-6],asian/pacific islander/asian-american,european/caucasian-american,0,6,8,[6-10],[6-10],business [mba],15,15,20,15,20,15,[0-15],[0-15],[16-20],[0-15],[16-20],[0-15],1,2,10,1,10,4,[0-5],[0-5],[9-10],[0-5],[9-10],[0-5],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],7,6,6,6,6,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.73,[0.33-1],5,2,4,[5-6],[0-3],[3-5],5,5,[0-5],[5-6],0,0,0,0
1345,0,4,male,28,27,1,[0-1],asian/pacific islander/asian-american,european/caucasian-american,0,6,8,[6-10],[6-10],business [mba],25,15,20,20,20,0,[21-100],[0-15],[16-20],[16-20],[16-20],[0-15],6,9,8,5,7,6,[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],5,5,5,5,5,5,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.18,[0-0.33],5,2,4,[5-6],[0-3],[3-5],5,5,[0-5],[5-6],1,0,0,0
1346,0,4,male,28,23,5,[4-6],asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,6,8,[6-10],[6-10],business [mba],15,21,18,18,10,18,[0-15],[21-100],[16-20],[16-20],[0-15],[16-20],0,5,5,0,9,0,[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],5,6,9,3,3,3,[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.37,[0.33-1],5,2,4,[5-6],[0-3],[3-5],3,3,[0-5],[0-4],0,0,0,0
1348,0,4,male,28,29,1,[0-1],asian/pacific islander/asian-american,european/caucasian-american,0,6,8,[6-10],[6-10],business [mba],10,20,20,20,20,10,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],4,3,9,3,8,5,[0-5],[0-5],[9-10],[0-5],[6-8],[0-5],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],9,8,8,6,7,7,[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.64,[0.33-1],5,2,4,[5-6],[0-3],[3-5],6,5,[6-8],[5-6],0,0,0,0
1349,0,4,male,28,29,1,[0-1],asian/pacific islander/asian-american,european/caucasian-american,0,6,8,[6-10],[6-10],business [mba],14,20,18,24,18,6,[0-15],[16-20],[16-20],[21-100],[16-20],[0-15],6,6,7,7,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20,20,20,10,10,20,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6,9,9,9,7,[6-8],[9-10],[9-10],[9-10],[6-8],7,9,9,8,6,7,[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],0.27,[0-0.33],5,2,4,[5-6],[0-3],[3-5],7,5,[6-8],[5-6],0,1,0,0
1351,0,4,male,26,22,4,[4-6],european/caucasian-american,european/caucasian-american,1,7,5,[6-10],[2-5],business,15,20,20,20,15,10,[0-15],[16-20],[16-20],[16-20],[0-15],[0-15],4,6,6,6,5,7,[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],18,18,18,19,13,14,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7,9,8,10,7,[6-8],[9-10],[6-8],[9-10],[6-8],4,6,5,6,5,5,[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[9-10],[0-5],[0-5],-0.2,[-1-0],6,6,2,[5-6],[4-9],[0-2],4,4,[0-5],[0-4],0,0,0,0
1352,0,4,male,26,23,3,[2-3],european/caucasian-american,latino/hispanic american,0,7,5,[6-10],[2-5],business,10,25,20,10,20,15,[0-15],[21-100],[16-20],[0-15],[16-20],[0-15],2,4,9,4,9,6,[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],18,18,18,19,13,14,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7,9,8,10,7,[6-8],[9-10],[6-8],[9-10],[6-8],5,6,7,4,4,6,[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[9-10],[0-5],[0-5],-0.16,[-1-0],6,6,2,[5-6],[4-9],[0-2],4,3,[0-5],[0-4],0,0,0,0
1353,0,4,male,26,26,0,[0-1],european/caucasian-american,asian/pacific islander/asian-american,0,7,5,[6-10],[2-5],business,10,20,15,20,20,15,[0-15],[16-20],[0-15],[16-20],[16-20],[0-15],5,6,6,5,5,4,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],18,18,18,19,13,14,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7,9,8,10,7,[6-8],[9-10],[6-8],[9-10],[6-8],4,7,7,6,5,5,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[9-10],[0-5],[0-5],-0.04,[-1-0],6,6,2,[5-6],[4-9],[0-2],5,3,[0-5],[0-4],0,0,0,0
1354,0,4,male,26,27,1,[0-1],european/caucasian-american,asian/pacific islander/asian-american,0,7,5,[6-10],[2-5],business,10,20,20,10,20,20,[0-15],[16-20],[16-20],[0-15],[16-20],[16-20],7,9,9,8,9,8,[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],18,18,18,19,13,14,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7,9,8,10,7,[6-8],[9-10],[6-8],[9-10],[6-8],5,8,7,5,6,4,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[9-10],[0-5],[0-5],0.31,[0-0.33],6,6,2,[5-6],[4-9],[0-2],5,3,[0-5],[0-4],0,0,0,0
1355,0,4,male,26,28,2,[2-3],european/caucasian-american,european/caucasian-american,1,7,5,[6-10],[2-5],business,10,10,20,20,20,20,[0-15],[0-15],[16-20],[16-20],[16-20],[16-20],3,7,7,5,7,6,[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],18,18,18,19,13,14,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7,9,8,10,7,[6-8],[9-10],[6-8],[9-10],[6-8],6,6,6,8,6,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[9-10],[0-5],[0-5],-0.21,[-1-0],6,6,2,[5-6],[4-9],[0-2],6,5,[6-8],[5-6],0,1,0,0
